tanggal,judul,kategori,link,bulan,tahun
,Selayang Pandang,Berita Umum,https://www.unesa.ac.id/page/tentang-unesa/selayang-pandang,9,2026
,Pimpinan Universitas,Berita Umum,https://www.unesa.ac.id/page/tentang-unesa/pimpinan-universitas,9,2026
,Struktur Organisasi,Berita Umum,https://www.unesa.ac.id/page/tentang-unesa/struktur-organisasi,9,2026
,Senat Akademik (SAU),Berita Umum,https://www.unesa.ac.id/page/tentang-unesa/senat-akademik-universitas-sau,9,2026
,"Biro, Lembaga & UPT",Berita Umum,https://www.unesa.ac.id/page/id,9,2026
,Lab School Unesa,Berita Umum,https://www.unesa.ac.id/page/lab-school,9,2026
,Laboratorium & Fasilitas,Berita Umum,https://www.unesa.ac.id/page/laboratorium-dan-fasilitas,9,2026
,UNESA Berdampak,Berita Umum,https://www.unesa.ac.id/page/unesa-berdampak,9,2026
,Pengabdian kepada Masyarakat,Berita Umum,https://www.unesa.ac.id/category/pengabdian,9,2026
,Kuliah Kerja Nyata,Berita Umum,https://www.unesa.ac.id/category/kuliah-kerja-nyata,9,2026
,UNESA Global Engagement,Berita Umum,https://www.unesa.ac.id/page/instansi/unesa-global-engagement,9,2026
,Hotspot atau WiFi,Berita Umum,https://www.unesa.ac.id/page/layanan/hostpot-atau-wifi,9,2026
,Sistem Informasi Unesa,Berita Umum,https://www.unesa.ac.id/page/sim-unesa,9,2026
,Lihat Semua Layanan,Berita Umum,https://www.unesa.ac.id/page/layanan,9,2026
,info@unesa.ac.id,Berita Umum,https://www.unesa.ac.id/mailto:info@unesa.ac.id,9,2026
,humas@unesa.ac.id,Berita Umum,https://www.unesa.ac.id/mailto:humas@unesa.ac.id,9,2026
,Kampus Berdampak,Berita Umum,https://www.unesa.ac.id/kampus-berdampak/,9,2026
18 Sep 2026,Prestasi Institusi,Prestasi Institusi,https://www.unesa.ac.id/category/prestasi-institusi/,9,2026
,"Strategi Pengelolaan Sampah, Transportasi hingga Smart Lighting Unesa Berbuah Pengakuan Nasional",Berita Umum,https://www.unesa.ac.id/strategi-pengelolaan-sampah-transportasi-hingga-smart-lighting-unesa-berbuah-pengakuan-nasional/,9,2026
,Unesa dan BP2TL Perkuat Kolaborasi Pengembangan SDM melalui Training Center dan Sertifikasi Profesi,Berita Umum,https://www.unesa.ac.id/unesa-dan-bp2tl-perkuat-kolaborasi-pengembangan-sdm-melalui-training-center-dan-sertifikasi-profesi/,9,2026
,Unesa Perkuat Skema Sertifikasi Profesi melalui Benchmarking Pendampingan dengan BNSP,Berita Umum,https://www.unesa.ac.id/unesa-perkuat-skema-sertifikasi-profesi-melalui-benchmarking-pendampingan-dengan-bnsp/,9,2026
,AMN Satukan Mahasiswa dari 38 Provinsi dalam Pembinaan Nilai Kebinekaan dan Kepedulian Sosial,Berita Umum,https://www.unesa.ac.id/amn-satukan-mahasiswa-dari-38-provinsi-dalam-pembinaan-nilai-kebinekaan-dan-kepedulian-sosial/,9,2026
,"Unesa Dikunjungi Delegasi Pemerintah NSW Australia, Bahas Kerja Sama Akademik",Berita Umum,https://www.unesa.ac.id/unesa-dikunjungi-delegasi-pemerintah-nsw-australia-bahas-kerja-sama-akademik/,9,2026
16 Sep 2026,Program Berdampak,Program Berdampak,https://www.unesa.ac.id/category/program-berdampak/,9,2026
,"English Access Program Hasilkan Puluhan Lulusan dengan Bekal Bahasa, Budaya, dan Kepemimpinan",Berita Umum,https://www.unesa.ac.id/english-access-program-hasilkan-puluhan-lulusan-dengan-bekal-bahasa-budaya-dan-kepemimpinan/,9,2026
,Pakar Kajian Sastra dan Budaya Unesa Dorong Pendidikan Berperspektif Gender Lewat Digital Storytelling,Berita Umum,https://www.unesa.ac.id/pakar-kajian-sastra-dan-budaya-unesa-dorong-pendidikan-berperspektif-gender-lewat-digital-storytelling/,9,2026
,"Kamar Mandi Bisa Menjadi Titik Awal Stroke, Pakar Neurologi Unesa Ingatkan Kebiasaan Sederhana yang Menyelamatkan Nyawa",Berita Umum,https://www.unesa.ac.id/kamar-mandi-bisa-menjadi-titik-awal-stroke-pakar-neurologi-unesa-ingatkan-kebiasaan-sederhana-yang-menyelamatkan-nyawa/,9,2026
,Sosiolog Kependudukan Unesa Soroti Implementasi UU PPRT di Tingkat Akar Rumput,Berita Umum,https://www.unesa.ac.id/sosiolog-kependudukan-unesa-soroti-implementasi-uu-pprt-di-tingkat-akar-rumput/,9,2026
,"Invasi Ikan Sapu-Sapu Ancam Ekosistem Sungai, Dosen Akuakultur Unesa Tekankan Kesadaran Kolektif untuk Menjaga Perairan",Berita Umum,https://www.unesa.ac.id/invasi-ikan-sapu-sapu-ancam-ekosistem-sungai-dosen-akuakultur-unesa-tekankan-kesadaran-kolektif-untuk-menjaga-perairan/,9,2026
,Lihat semua fakultas,Berita Umum,https://www.unesa.ac.id/program-studi/,9,2026
,Bahasa dan Seni,Berita Umum,https://fbs.unesa.ac.id/,9,2026
,Ekonomika dan Bisnis,Berita Umum,https://feb.unesa.ac.id/,9,2026
,Ilmu Keolahragaan dan Kesehatan,Berita Umum,https://fikk.unesa.ac.id/,9,2026
,Ilmu Pendidikan,Berita Umum,https://fip.unesa.ac.id/,9,2026
,Ilmu Sosial dan Politik,Berita Umum,https://fish.unesa.ac.id/,9,2026
,Ketahanan Pangan,Berita Umum,https://fkp.unesa.ac.id/,9,2026
,Matematika dan Ilmu Pengetahuan Alam,Berita Umum,https://fmipa.unesa.ac.id/,9,2026
,Sekolah Pascasarjana,Berita Umum,https://sekolahpascasarjana.unesa.ac.id/,9,2026
,Lihat Semua SDGs,Berita Umum,https://www.unesa.ac.id/sdgs/,9,2026
,Tanpa Kemiskinan,Berita Umum,https://www.unesa.ac.id/sdgs/1/,9,2026
,Tanpa Kelaparan,Berita Umum,https://www.unesa.ac.id/sdgs/2/,9,2026
,Kehidupan Sehat dan Sejahtera,Berita Umum,https://www.unesa.ac.id/sdgs/3/,9,2026
,Pendidikan Berkualitas,Berita Umum,https://www.unesa.ac.id/sdgs/4/,9,2026
,Kesetaraan Gender,Berita Umum,https://www.unesa.ac.id/sdgs/5/,9,2026
,Air Bersih dan Sanitasi Layak,Berita Umum,https://www.unesa.ac.id/sdgs/6/,9,2026
,Energi Bersih dan Terjangkau,Berita Umum,https://www.unesa.ac.id/sdgs/7/,9,2026
,Pekerjaan Layak dan Pertumbuhan Ekonomi,Berita Umum,https://www.unesa.ac.id/sdgs/8/,9,2026
,"Industri, Inovasi dan Infrastruktur",Berita Umum,https://www.unesa.ac.id/sdgs/9/,9,2026
,Berkurangnya Kesenjangan,Berita Umum,https://www.unesa.ac.id/sdgs/10/,9,2026
,Kota dan Permukiman yang Berkelanjutan,Berita Umum,https://www.unesa.ac.id/sdgs/11/,9,2026
,Konsumsi dan Produksi yang Bertanggung Jawab,Berita Umum,https://www.unesa.ac.id/sdgs/12/,9,2026
,Penanganan Perubahan Iklim,Berita Umum,https://www.unesa.ac.id/sdgs/13/,9,2026
,Ekosistem Lautan,Berita Umum,https://www.unesa.ac.id/sdgs/14/,9,2026
,Ekosistem Daratan,Berita Umum,https://www.unesa.ac.id/sdgs/15/,9,2026
,"Perdamaian, Keadilan dan Kelembagaan yang Tangguh",Berita Umum,https://www.unesa.ac.id/sdgs/16/,9,2026
,Kemitraan untuk Mencapai Tujuan,Berita Umum,https://www.unesa.ac.id/sdgs/17/,9,2026
,Pimpinan Universitas,Berita Umum,https://www.unesa.ac.id/page/tentang-unesa/pimpinan-universitas/,9,2026
,Struktur Organisasi,Berita Umum,https://www.unesa.ac.id/page/tentang-unesa/struktur-organisasi/,9,2026
,Sistem Informasi Unesa,Berita Umum,https://www.unesa.ac.id/page/sim-unesa/,9,2026
